,기업명,누적투자금액,매출,고용인원,카테고리,키워드,설립년도
0,뤼튼테크놀로지스_뤼튼,62.6667,0.5,93,"콘텐츠/예술, 교육, AI/딥테크/블록체인","콘텐츠/예술,교육,AI,",3
1,업스테이지_아숙업,354.0,14.75,135,"통신/보안/데이터, AI/딥테크/블록체인","커머스, 푸드/농업, 이커머스, 리뷰, 신선식품, 가공식품, 생활용품/소품, 플랫폼/마켓플레이스, 상품판매/브랜드/하드웨어, WEB, 리워드",4
2,버킷플레이스_오늘의집,318.0,186.41,660,"커머스, 소셜미디어/커뮤니티, 홈리빙/펫","AI/딥테크/블록체인, 통신/보안/데이터, 최근투자받은추천채용기업, 프로그래밍개발, 인공지능, B2B, SaaS/엔터프라이즈, 소프트웨어, 생성형AI",10
3,두잇_두잇,13.0,4.25,49,"물류, 푸드/농업","홈리빙/펫, 커머스, 소셜미디어/커뮤니티, K-유니콘, 인테리어, B2B, B2C, APP, WEB, 가구, 생활용품/소품, 이커머스, 커뮤니티, 플랫폼/마켓플레이스, 거래수수료, 콘텐츠, 검색/검색엔진, 코로나",2
4,김캐디_김캐디,20.1,2.9,30,여행/레저,"피트니스/스포츠, 여행/레저, 골프, 레저/액티비티, B2C, 플랫폼/마켓플레이스, APP, WEB, O2O",5
5,마인이스_차란,76.8,167.95,47,", 피트니스/스포츠","커머스, 패션, 어워즈1차후보, 팁스(TIPS)2022, 중고, 의류, 패션잡화, 중고패션, 패션테크, B2C, 플랫폼/마켓플레이스, APP, 중고거래/중고명품, 리셀",2
6,해녀의부엌_해녀의 부엌,0.2,3.2,14,"커머스, 패션","푸드/농업, 콘텐츠/예술, 여성창업, 수산업, 신선식품, 가공식품, 한류/K-pop, 공연, B2C, 플랫폼/마켓플레이스, 상품판매/브랜드/하드웨어, WEB, 상품/하드웨어, 식당예약, 콘텐츠, 오프라인매장, 한류/K-POP/K-Contents",5
7,스마트스코어_스마트스코어,304.5,193.75,307,피트니스/스포츠,"피트니스/스포츠, 예비유니콘, 골프, APP, WEB, 플랫폼/마켓플레이스, 데이터/API, 비대면/무인시스템/Untact, O2O, B2C",10
8,의식주컴퍼니_런드리고,204.1667,61.6167,576,홈리빙/펫,"홈리빙/펫, 아기유니콘, 세탁, B2C, 플랫폼/마켓플레이스, APP, 비대면/무인시스템/Untact",6
9,채널코퍼레이션_채널톡,42.32,12.99,163,"광고/마케팅, 인사/비즈니스/법률","광고/마케팅, 인사/비즈니스/법률, 예비유니콘, 마케팅솔루션, 협업률/생산성, B2B, 스타트업/창업자, SaaS/엔터프라이즈, 구독, WEB, 소프트웨어, 구독경제, 챗봇, 생성형AI",10
10,모아이스_골프픽스,5.0,0.76,29,"AI/딥테크/블록체인, 피트니스/스포츠, 여행/레저","AI/딥테크/블록체인, 피트니스/스포츠, 여행/레저, 어워즈1차후보, 2022혁신의숲어워즈, 스포츠/운동, 골프, 취미교육, 레저/액티비티, 인공지능, 딥러닝/머신러닝, 비전센싱/영상인식/센서, B2C, 플랫폼/마켓플레이스, SaaS/엔터프라이즈, APP, O2O, 비대면/무인시스템/Untact, 에듀테크",5
11,라포테이블_팔도감,35.0,4.0,35,"커머스, 푸드/농업","커머스, 푸드/농업, 어워즈1차후보, 이커머스, 유통, 반찬, 신선식품, 농업, 축산업, 수산업, B2C, 시니어/실버, 플랫폼/마켓플레이스, APP, WEB, 상품/하드웨어, O2O",2
12,에이블리코퍼레이션_에이블리,247.7778,198.3111,299,"커머스, 패션","패션, 커머스, 예비유니콘, 의류, 신발, 패션잡화, 쥬얼리, 이커머스, 리뷰, B2C, 플랫폼/마켓플레이스, 상품판매/브랜드/하드웨어, APP, 인공지능, 빅데이터",9
13,보이저엑스_브루,42.8571,0.4714,68,"AI/딥테크/블록체인, 콘텐츠/예술, 통신/보안/데이터","AI/딥테크/블록체인, 콘텐츠/예술, 통신/보안/데이터, 영상/비디오, 사진, 프로그래밍개발, 인공지능, B2C, SaaS/엔터프라이즈, APP, WEB, 소프트웨어, 콘텐츠, 생성형AI",7
14,비바리퍼블리카_토스,1272.7273,1000.0,942,"금융/보험/핀테크, 통신/보안/데이터","금융/보험/핀테크, 통신/보안/데이터, K-유니콘, 결제/페이먼트, 보험/인슈어테크, 주식/증권, 은행, B2B, B2C, 거래수수료, APP",11
15,플렉스_플렉스,96.0,16.02,182,"인사/비즈니스/법률, 통신/보안/데이터","인사/비즈니스/법률, 통신/보안/데이터, 조직관리/조직문화, 인사솔루션, 전자계약, 회계, 경리/경영관리, 클라우드, 프로그래밍개발, B2B, SaaS/엔터프라이즈, 구독, 용역, 소프트웨어, 비대면/무인시스템/Untact",5
16,고이장례연구소_고이,9.6667,0.8333,18,기타,"기타, 팁스(TIPS)2023, B2C, 용역, 교육/컨설팅/용역, 기타서비스, 장례",3
17,무신사_무신사,466.6667,590.2833,1555,"커머스, 패션","패션, 커머스, K-유니콘, 이커머스, 유통, 커뮤니티, 의류, 신발, 패션잡화, 쥬얼리, 명품/중고명품, B2C, 플랫폼/마켓플레이스, 상품판매/브랜드/하드웨어, APP, WEB, 상품/하드웨어, O2O, 오프라인매장",12
18,백패커_아이디어스(idus),55.4167,45.6,176,"커머스, 푸드/농업, 홈리빙/펫","커머스, 푸드/농업, 홈리빙/펫, 예비유니콘, 이커머스, 반찬, 디저트, 가공식품, 생활용품/소품, 문구, B2C, 플랫폼/마켓플레이스, 거래수수료, APP, WEB, 상품/하드웨어, 교육/컨설팅/용역, O2O",12
19,워시스왓_세탁특공대,22.7778,29.1778,301,홈리빙/펫,"홈리빙/펫, 세탁, 스마트팩토리, B2B, 플랫폼/마켓플레이스, B2C, APP, WEB, O2O",9
20,힐링페이퍼_강남언니,19.4167,20.4083,115,헬스케어/바이오,"헬스케어/바이오, 예비유니콘, 커뮤니티, 병원정보, B2C, 플랫폼/마켓플레이스, APP, WEB",12
21,컬리_컬리,1111.1111,2222.2222,2668,"커머스, 물류, 푸드/농업","물류, 커머스, 푸드/농업, K-유니콘, 예비유니콘, 이커머스, 라스트마일, 신선식품, B2C, 플랫폼/마켓플레이스, 상품판매/브랜드/하드웨어, APP, WEB, 상품/하드웨어, 비대면/무인시스템/Untact, 여성창업",9
22,티오더,87.5,43.92,269,"커머스, 광고/마케팅, 인사/비즈니스/법률","광고/마케팅, 인사/비즈니스/법률, 커머스, 아기유니콘, 예비유니콘, 스마트오더, 소상공인, 빅데이터, B2B, SaaS/엔터프라이즈, 소프트웨어, 비대면/무인시스템/Untact",5
23,매스프레소_콴다,169.7222,8.4111,144,"교육, AI/딥테크/블록체인","교육, AI/딥테크/블록체인, 예비유니콘, 수학, APP, WEB, 에듀테크, B2C, 플랫폼/마켓플레이스, 콘텐츠, 인공지능, 딥러닝/머신러닝, 검색/검색엔진, O2O, 비대면/무인시스템/Untact",9
24,아우름플래닛_라이너,13.9583,0.2917,34,"통신/보안/데이터, AI/딥테크/블록체인","AI/딥테크/블록체인, 통신/보안/데이터, 인터넷기술, 모바일기술, 프로그래밍개발, 검색/검색엔진, B2B, B2C, 상품판매/브랜드/하드웨어, APP, 생성형AI",12
25,모노리스_9.81파크,102.1429,20.9143,80,"여행/레저, 제조/하드웨어","여행/레저, 제조/하드웨어, 레저/액티비티, 인공지능, B2C, 렌탈/대여, 공간, 오프라인매장, 비대면/무인시스템/Untact",7
