,company,investment,sales,employee,category,keyword,establishment,view,total_mean
1,쿠팡_쿠팡,8454.5455,23909.0909,10000,커머스,"커머스, K-유니콘(졸업), 이커머스, 직구/역직구, B2C, 플랫폼/마켓플레이스, APP, WEB, O2O",11,2930,1
2,카카오뱅크_카카오뱅크,4375,2000,1553,"금융/보험/핀테크, 통신/보안/데이터","금융/보험/핀테크, 통신/보안/데이터, 결제/페이먼트, 자산관리, 대출, 송금, 주식/증권, 은행, 데이터, 보안/암호화, B2C, SaaS/엔터프라이즈, APP, 금융상품",8,120,3
3,토스뱅크_토스뱅크,3250,1888.55,532,금융/보험/핀테크,"금융/보험/핀테크, 결제/페이먼트, 대출, 송금, 외환/환전, 은행, B2C, 거래수수료, APP",4,740,4
4,컬리_컬리,1111.1111,2222.2222,2668,"커머스, 물류, 푸드/농업","물류, 커머스, 푸드/농업, K-유니콘, 예비유니콘, 이커머스, 라스트마일, 신선식품, B2C, 플랫폼/마켓플레이스, 상품판매/브랜드/하드웨어, APP, WEB, 상품/하드웨어, 비대면/무인시스템/Untact, 여성창업",9,3050,4.5
5,비바리퍼블리카_토스,1272.7273,1000,942,"금융/보험/핀테크, 통신/보안/데이터","금융/보험/핀테크, 통신/보안/데이터, K-유니콘, 결제/페이먼트, 보험/인슈어테크, 주식/증권, 은행, B2B, B2C, 거래수수료, APP",11,3120,7
6,토스페이먼츠_토스비즈니스,675,1840.525,263,금융/보험/핀테크,"금융/보험/핀테크, 결제/페이먼트, B2B, SaaS/엔터프라이즈, 소프트웨어, 데이터/API",4,350,7.5
7,티맵모빌리티_티맵,1683.25,511.525,372,모빌리티/교통,"모빌리티/교통, 지도/네비게이션/GPS, GIS/지리정보, 공간정보, 주차, 자율주행, 교통솔루션, 택시, 대중교통, 대리운전, 자연어처리/텍스트마이닝, B2C, 플랫폼/마켓플레이스, 구독, 거래수수료, APP, O2O",4,600,9
8,두나무_업비트,605.4167,1000,597,금융/보험/핀테크,"투자,주식/증권,B2C,플랫폼/마켓플레이스,거래수수료,APP,WEB,금융상품,기타DeepTech",12,2330,10
9,하이브,631.5789,894.7368,796,콘텐츠/예술,"미디어, 방송, 음악",19,1160,10.5
10,우아한형제들_배달의민족,361.6429,2071.4286,2201,"커머스, 물류, 푸드/농업","물류, 커머스, 푸드/농업, K-유니콘(졸업), 이커머스, 리뷰, 라스트마일, 배달, 검색/검색엔진, B2B, B2C, 플랫폼/마켓플레이스, 광고, 거래수수료, APP, O2O, 코로나",14,2990,10.5
11,무신사_무신사,466.6667,590.2833,1555,"커머스, 패션","패션, 커머스, K-유니콘, 이커머스, 유통, 커뮤니티, 의류, 신발, 패션잡화, 쥬얼리, 명품/중고명품, B2C, 플랫폼/마켓플레이스, 상품판매/브랜드/하드웨어, APP, WEB, 상품/하드웨어, O2O, 오프라인매장",12,3090,13.5
12,프레시지_프레시지,380,662.2375,354,"커머스, 푸드/농업","커머스, 푸드/농업, 예비유니콘, 밀키트, 간편식/HMR, 대체육, 신선식품, 가공식품, 이커머스, 정기구독, 배송, B2C, 플랫폼/마켓플레이스, 상품판매/브랜드/하드웨어, WEB, 상품/하드웨;어",8,800,14.5
13,야놀자_야놀자,1352.9412,214.0882,907,여행/레저,"여행/레저, K-유니콘, 숙박, B2B, B2C, APP, WEB, 레저/액티비티, 캠핑, 여행정보, 플랫폼/마켓플레이스, 거래수수료, 광고/검색엔진, O2O",17,2860,15
14,팀프레시_팀프레시,391.6667,383.9333,396,"물류, 푸드/농업","물류, 푸드/농업, 예비유니콘, 배송대행, 풀필먼트, 콜드체인, 신선식품, B2B, SaaS/엔터프라이즈, 용역, 교육/컨설팅/용역, O2O, D2C",6,580,16
15,쏘카_쏘카,453.1692,305.8154,432,"커머스, 모빌리티/교통","모빌리티/교통, 커머스, K-유니콘, 카쉐어링/차량공유, B2B, B2C, 렌탈/대여, APP, 공유경제/긱이코노미",13,2600,17.5
16,크림_크림,976.5,114.875,174,"커머스,패션","이커머스,중고,의류,신발,패션잡화,중고패션,명품/중고명품,B2C,플랫폼/마켓플레이스,거래수수료,APP,WEB,중고거래/중고명품,리셀",4,2350,23.5
17,버킷플레이스_오늘의집,318,186.41,660,"커머스, 소셜미디어/커뮤니티, 홈리빙/펫","AI/딥테크/블록체인, 통신/보안/데이터, 최근투자받은추천채용기업, 프로그래밍개발, 인공지능, B2B, SaaS/엔터프라이즈, 소프트웨어, 생성형AI",10,3240,24.5
