Node,Community
뤼튼테크놀로지스_뤼튼,0
업스테이지_아숙업,0
버킷플레이스_오늘의집,1
두잇_두잇,1
김캐디_김캐디,4
마인이스_차란,2
해녀의부엌_해녀의 부엌,1
스마트스코어_스마트스코어,2
의식주컴퍼니_런드리고,1
채널코퍼레이션_채널톡,2
모아이스_골프픽스,0
라포테이블_팔도감,1
에이블리코퍼레이션_에이블리,1
보이저엑스_브루,0
비바리퍼블리카_토스,2
플렉스_플렉스,2
고이장례연구소_고이,2
무신사_무신사,1
백패커_아이디어스(idus),1
워시스왓_세탁특공대,1
힐링페이퍼_강남언니,3
컬리_컬리,1
티오더,1
매스프레소_콴다,0
아우름플래닛_라이너,0
모노리스_9.81파크,4
와이즐리컴퍼니_와이즐리,1
우아한형제들_배달의민족,1
블래스트,0
페이타랩_패스오더,1
화이트큐브_챌린저스,4
브레이브모바일_숨고,4
뱅크샐러드_뱅크샐러드,2
쿠팡_쿠팡,1
닥터나우_닥터나우,3
인티그레이션_메디스트림,4
마이플레이컴퍼니_플랫풋볼,4
아이헤이트플라잉버그스_밀당PT,2
메디테라피_메디테라피,1
와드_캐치테이블,1
야놀자_야놀자,4
아키드로우_아키스케치,0
핏펫_핏펫,2
드라마앤컴퍼니_리멤버,2
데일리샷_데일리샷,1
아토머스_마인드카페,4
더스윙_스윙,2
핀다_핀다,0
문토_문토,4
트레바리_트레바리,4
트웰브랩스_마렝고,0
발란_발란,1
캐비지_어글리어스,1
엘박스_엘박스,2
와디즈_와디즈,1
가제트코리아_유심사,1
크몽_크몽,4
라포랩스_퀸잇,1
모요_모요,2
에이피알_메디큐브,1
테사_테사,1
빌리지베이비_베이비빌리,1
인프랩_인프런,1
정육각_정육각,1
버핏서울_버핏그라운드,3
인플루디오_포카마켓,1
쏘카_쏘카,1
번개장터_번개장터,1
젠테_젠테스토어,1
트래블월렛_트래블월렛,2
여기어때_여기어떄,4
키노라이츠_키노라이츠,4
뉴빌리티_뉴비,0
클라썸_클라썸,2
크리에이트립_크리에이트립,4
리디_리디,4
아임웹_아임웹,4
하이어다이버시티_하이어다이버시티,2
데이원컴퍼니_패스트캠퍼스,4
한국신용데이터_캐시노트,2
다비오_다비오맵,2
스테이폴리오_스테이폴리오,1
비즈플레이_비즈플레이,2
뉴넥스_브랜디,1
코드잇_코드잇,2
트렌비_트렌비,1
자란다_자란다부모님용,2
프리윌린_매쓰플랫,0
링글잉글리시에듀케이션서비스_링글,2
비즈니스캔버스_타입드,2
뤼이드_산타,0
크림_크림,1
메라키플레이스_나만의닥터,3
두나무_업비트,2
윙잇_윙잇,1
데이터노우즈_리치고,0
넛지헬스케어_캐시워크,3
생활연구소_청소연구소,1
패러닷_캐럿,0
콜버스랩_자리톡,2
스푼라디오_스푼,4
시제_모노리스,0
직방_직방,2
퍼블리_퍼블리,4
버즈빌_버즈빌,0
지바이크_지쿠,2
네오사피엔스_타입캐스트,0
브레인커머스_잡플래닛,0
루센트블록_소유,0
슈퍼브에이아이_슈퍼브에이아이,0
브랜드엑스코퍼레이션_젝시믹스,1
케어닥_케어닥,3
자비스앤빌런즈_삼쩜삼,0
솜씨당컴퍼니_솜씨당,1
레몬베이스_레몬베이스,2
엘알에치알_패피스,1
탈잉_탈잉,4
더슬립팩토리_파사,3
휴먼스케이프_마미톡,3
스칼라데이터_모두의충전,2
룩코_에이클로젯,1
레진엔터테인먼트_레진코믹스,4
미리디_미리캔버스,4
패러다임시프트_히로인스,4
아이쿠카_아이쿠카,2
로앤컴퍼니_로톡,0
더커머스_원셀,1
카카오스타일_지그재그,1
필라이즈_필라이즈,0
비주얼_아몬드,1
리브애니웨어_리브애니웨어,4
애즈위메이크_큐마켓,2
닥터다이어리_닥터다이어리,1
팀스파르타_스파르타코딩클럽,2
콕스웨이브_얼라인AI,0
제로엑스플로우_원아워,0
아파트너_아파트너,4
프렌즈큐브_소모임,4
스트라드비젼_자율주행기능지원기술,0
세컨신드롬_미니창고다락,2
왓챠_왓챠,0
튜링_수학대왕,0
비엠스마일_페스룸,1
퓨리오사에이아이_WARBOY,0
그립컴퍼니_그립,1
카카오브이엑스_카카오골프예약,0
올거나이즈코리아_엘리,2
모레,0
오아시스_오아시스마켓,1
니어스랩,2
프렌트립_프립,4
바로팜_바로팜,3
지엔터프라이즈_비즈넵,2
쿼타랩_쿼타북,2
어바웃펫_어바웃펫,1
피클플러스_피클플러스,4
큐피스트_글램,4
파이온코퍼레이션_브이캣,4
스페이스브이_삼삼엠투,2
바잇미_바잇미,1
누비랩,3
머스트잇_머스트잇,1
페르소나에이아이_봇톡스,0
마크비전코리아,1
하이퍼커넥트_아자르,4
팬딩_팬딩,4
띵스플로우_헬로우봇,4
위버케어_메디패스,3
마카롱팩토리_마이클,2
스카이랩스_스카이랩스,1
위펀_스낵24,1
인터콘시스템스_,0
오케스트로_심포니 인공지능,2
노머스_원더월,4
마플코퍼레이션_마플샵,1
마켓보로_식봄,1
원프레딕트_원프레딕트,0
홀릭스팩토리_홀릭스,4
닷슬래시대시_닷슬래시대시,4
파스토_파스토,0
오픈플랜_토글,2
크레이빙콜렉터_콜렉티브,1
데이터라이즈_데이터라이즈,1
딜리셔스_신상마켓,1
프렌들리에이아이_페리플로우,2
어댑트_푸드올로지,1
밀리의서재_밀리의서재,4
타임앤코_롱블랙,4
오누이_설탭,2
테크랩스_점신,4
스타일봇_스타일봇,0
로쉬코리아_오뉴,3
위허들링_위잇딜라이트,1
세븐픽쳐스_넷플연가,4
원티드랩_원티드,2
엔라이즈_위피,4
서울로보틱스_서울로보틱스,0
스펙터_스펙터,2
포티투닷_탭,2
퓨처커넥트_리브팜,1
노타_노타키보드,2
고퀄_헤이홈,1
마키나락스_MRX 솔루션,0
인테리어티쳐_인테리어티쳐,1
트립비토즈_트립비토즈,4
웨이커_웨이커,2
모인_모인,2
패스트레인_여신티켓,3
커피챗_커피챗,4
안다르_안다르,1
하이브,4
운칠기삼_포스텔러,4
비바이노베이션_착한의사,0
와이어드컴퍼니_케미,0
와그_와그,4
에아아이트릭스,0
카카오헬스케어_파스타,3
굿닥_굿닥,3
메이크스타_메이크스타,1
라라잡_동네알바,2
비마이프렌즈_비스테이지,1
